# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	17159
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=0 d=0.1 t=14294
bu fen 	部分	c=14 d=0.0208405 t=17159
bu fu gai 	不覆蓋	c=1 d=1 t=1979
bu fu he 	不符合	c=1 d=1 t=8019
bu guan 	不管	c=0 d=0.1 t=11405
bu guan guan 	不管管	c=1 d=1 t=11406
bu guang shi 	不光是	c=1 d=1 t=16179
bu guo 	不過	c=1 d=1 t=16817
bu hui 	不會	c=3 d=0.00229965 t=17159
bu ji de 	不記得	c=1 d=1 t=2989
bu jiu 	不久	c=1 d=1 t=11134
bu ju 	佈局	c=2 d=0.0177743 t=17159
bu li jie 	不理解	c=1 d=1 t=11221
bu mao dun 	不矛盾	c=1 d=1 t=16328
bu min gan 	不敏感	c=1 d=1 t=15318
bu ming bai 	不明白	c=1 d=1 t=11345
bu neng 	不能	c=14 d=0.412718 t=17159
bu ping heng 	不平衡	c=1 d=1 t=8773
bu quan 	補全	c=2 d=0.0121964 t=17159
bu ru 	不如	c=1 d=0.211189 t=17159
bu shang 	不上	c=1 d=1 t=4953
bu shi 	不是	c=11 d=0.557106 t=17159
bu shi yong 	不使用	c=1 d=1 t=15917
bu shi yong 	不適用	c=1 d=1 t=4395
bu shu 	部署	c=6 d=1 t=14133
bu tai 	不太	c=3 d=0.100004 t=16260
bu ti gong 	不提供	c=1 d=1 t=8316
bu tong 	不同	c=19 d=0.44972 t=17159
bu tong guo 	不通過	c=1 d=1 t=14593
bu wan zheng 	不完整	c=1 d=1 t=6103
bu xiang 	不想	c=1 d=1 t=6303
bu xing 	不行	c=5 d=0.0308074 t=17159
bu xu yao 	不需要	c=6 d=0.00241755 t=17159
bu yao 	不要	c=6 d=0.923264 t=17159
bu yi ding 	不一定	c=2 d=1.99005 t=7101
bu yi yang 	不一樣	c=1 d=1 t=8128
bu ying 	不應	c=1 d=1 t=12789
bu ying gai 	不應該	c=2 d=1 t=12783
bu yong 	不用	c=4 d=1.00004 t=15332
bu zai 	不再	c=1 d=1 t=15423
bu zhi chi 	不支持	c=1 d=1 t=2816
bu zhi dao 	不知道	c=1 d=1 t=15218
bu zhou 	步驟	c=1 d=1 t=6416
ca le 	擦了	c=1 d=1 t=3657
cai 	才	c=2 d=0.00222055 t=17159
cai cai 	猜猜	c=1 d=1 t=15569
cai feng 	裁縫	c=1 d=1 t=1886
cai jian 	裁剪	c=1 d=1 t=14649
cai liao 	材料	c=3 d=1.78352 t=10610
cai neng 	才能	c=10 d=0.0229781 t=17159
cai xiang 	猜想	c=1 d=1 t=8014
cai xing 	纔行	c=1 d=0.00200924 t=17159
cai yang 	採樣	c=2 d=1.96079 t=14899
cai yong 	採用	c=3 d=1.97076 t=10185
cai zhi 	材質	c=2 d=1.92774 t=2409
can jian 	參見	c=1 d=1 t=3978
can kan 	參看	c=2 d=1 t=4411
can kao 	參考	c=2 d=0.0405589 t=17159
can shu 	參數	c=29 d=0.181772 t=17159
can shu you hua 	參數優化	c=1 d=1 t=2725
can ting 	餐廳	c=1 d=1 t=9212
can yu 	參與	c=1 d=1 t=7863
cang 	倉	c=0 d=0.1 t=2653
cang ku 	倉庫	c=2 d=1.94649 t=10471
cang liang 	蒼涼	c=1 d=1 t=13533
cao di 	草地	c=1 d=1 t=9141
cao zuo 	操作	c=37 d=0.203453 t=17159
cao zuo xi tong 	操作系統	c=2 d=1 t=14466
cd 	㏅	c=1 d=1 t=2376
ce lve 	策略	c=37 d=0.315951 t=17159
ce ping 	測評	c=2 d=1 t=14023
ce shi 	測試	c=21 d=1.01946 t=16592
ce shi ji 	測試集	c=1 d=1 t=7772
ceng 	層	c=1 d=0.60242 t=7097
cha bie 	差別	c=1 d=1 t=9518
cha dao 	查到	c=3 d=1 t=16173
cha jian 	插件	c=30 d=1.47946 t=17159
cha ju 	差距	c=1 d=1 t=17092
cha kan 	查看	c=13 d=1.00017 t=14969
cha le 	查了	c=2 d=1 t=8114
cha ru 	插入	c=1 d=1 t=3257
cha xun 	查詢	c=8 d=0.873716 t=17159
cha yi 	差異	c=1 d=1 t=8603
cha zhao 	查找	c=3 d=2.72623 t=16640
chai fen 	拆分	c=1 d=1 t=1887
chai gu 	拆股	c=3 d=2.9361 t=8578
chai huo 	柴火	c=1 d=1 t=9170
chan pin 	產品	c=5 d=1 t=14568
chang chang 	常常	c=2 d=1.00571 t=16712
chang du 	長度	c=1 d=1 t=7970
chang fang ti 	長方體	c=1 d=1 t=5455
chang jian wen ti 	常見問題	c=1 d=1 t=3911
chang jing 	場景	c=2 d=1 t=16478
chang liang 	常量	c=1 d=1 t=13534
chang shi 	嘗試	c=1 d=1 t=6639
chang suo 	場所	c=1 d=1 t=9211
chang wei 	長尾	c=1 d=1 t=15677
chang yong 	常用	c=4 d=1 t=9692
chao 	超	c=1 d=1 t=16529
chao biao 	超標	c=1 d=1 t=9068
chao chang 	超長	c=1 d=1 t=7830
chao da 	超大	c=1 d=1 t=10434
chao guo 	超過	c=3 d=1.96561 t=15865
chao shi 	超時	c=1 d=0.100761 t=17159
che 	車	c=2 d=1.00001 t=9252
che di 	徹底	c=2 d=1.01222 t=6315
che hui 	撤回	c=2 d=1.96561 t=14944
chen 	陳	c=0 d=0.000771183 t=17159
chen hui xian 	陳慧嫺	c=1 d=1 t=14016
chen lao shi 	陳老師	c=1 d=0.00775048 t=17159
chen zhong wen 	陳忠文	c=1 d=1 t=8243
cheng 	成	c=15 d=1 t=14203
cheng ben 	成本	c=1 d=1 t=14565
cheng du 	程度	c=1 d=1 t=10621
cheng fa 	乘法	c=1 d=0.128093 t=17159
cheng gong 	成功	c=5 d=1.06051 t=6979
cheng jiao 	成交	c=0 d=0.197045 t=2654
